title_system,web_link
ПФК Ботев (Пловдив),https://bg.wikipedia.org/wiki/%D0%9F%D0%A4%D0%9A_%D0%91%D0%BE%D1%82%D0%B5%D0%B2_(%D0%9F%D0%BB%D0%BE%D0%B2%D0%B4%D0%B8%D0%B2)
Леброн Джеймс,https://bg.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B1%D1%80%D0%BE%D0%BD_%D0%94%D0%B6%D0%B5%D0%B9%D0%BC%D1%81
Национална баскетболна асоциация,https://bg.wikipedia.org/wiki/%D0%9D%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D0%BD%D0%B0_%D0%B1%D0%B0%D1%81%D0%BA%D0%B5%D1%82%D0%B1%D0%BE%D0%BB%D0%BD%D0%B0_%D0%B0%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D1%8F
Шампионска лига на УЕФА,https://bg.wikipedia.org/wiki/%D0%A8%D0%B0%D0%BC%D0%BF%D0%B8%D0%BE%D0%BD%D1%81%D0%BA%D0%B0_%D0%BB%D0%B8%D0%B3%D0%B0_%D0%BD%D0%B0_%D0%A3%D0%95%D0%A4%D0%90
Открито първенство на Франция,https://bg.wikipedia.org/wiki/%D0%9E%D1%82%D0%BA%D1%80%D0%B8%D1%82%D0%BE_%D0%BF%D1%8A%D1%80%D0%B2%D0%B5%D0%BD%D1%81%D1%82%D0%B2%D0%BE_%D0%BD%D0%B0_%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D0%B8%D1%8F
Олимпийски игри,https://bg.wikipedia.org/wiki/%D0%9E%D0%BB%D0%B8%D0%BC%D0%BF%D0%B8%D0%B9%D1%81%D0%BA%D0%B8_%D0%B8%D0%B3%D1%80%D0%B8
Майкъл Фелпс,https://bg.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%BA%D1%8A%D0%BB_%D0%A4%D0%B5%D0%BB%D0%BF%D1%81
Бобслей,https://bg.wikipedia.org/wiki/%D0%91%D0%BE%D0%B1%D1%81%D0%BB%D0%B5%D0%B9
Хокей на лед,https://bg.wikipedia.org/wiki/%D0%A5%D0%BE%D0%BA%D0%B5%D0%B9_%D0%BD%D0%B0_%D0%BB%D0%B5%D0%B4
Волейбол,https://bg.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D0%B5%D0%B9%D0%B1%D0%BE%D0%BB
Бокс,https://bg.wikipedia.org/wiki/%D0%91%D0%BE%D0%BA%D1%81
Лека атлетика,https://bg.wikipedia.org/wiki/%D0%9B%D0%B5%D0%BA%D0%B0_%D0%B0%D1%82%D0%BB%D0%B5%D1%82%D0%B8%D0%BA%D0%B0
Българска социалистическа партия,https://bg.wikipedia.org/wiki/%D0%91%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D1%81%D0%BA%D0%B0_%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0_%D0%BF%D0%B0%D1%80%D1%82%D0%B8%D1%8F
Народно събрание,https://bg.wikipedia.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%BE_%D1%81%D1%8A%D0%B1%D1%80%D0%B0%D0%BD%D0%B8%D0%B5
Българска народна банка,https://bg.wikipedia.org/wiki/%D0%91%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D1%81%D0%BA%D0%B0_%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0_%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0
Планова икономика,https://bg.wikipedia.org/wiki/%D0%9F%D0%BB%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0_%D0%B8%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D0%BA%D0%B0
Октомврийска революция,https://bg.wikipedia.org/wiki/%D0%9E%D0%BA%D1%82%D0%BE%D0%BC%D0%B2%D1%80%D0%B8%D0%B9%D1%81%D0%BA%D0%B0_%D1%80%D0%B5%D0%B2%D0%BE%D0%BB%D1%8E%D1%86%D0%B8%D1%8F
Княжество България,https://bg.wikipedia.org/wiki/%D0%9A%D0%BD%D1%8F%D0%B6%D0%B5%D1%81%D1%82%D0%B2%D0%BE_%D0%91%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D0%B8%D1%8F
Временно руско управление,https://bg.wikipedia.org/wiki/%D0%92%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D0%BE_%D1%80%D1%83%D1%81%D0%BA%D0%BE_%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5
Банкова консолидационна компания,https://bg.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%BA%D0%BE%D0%B2%D0%B0_%D0%BA%D0%BE%D0%BD%D1%81%D0%BE%D0%BB%D0%B8%D0%B4%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%B0_%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F
Акционерно дружество,https://bg.wikipedia.org/wiki/%D0%90%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%B5%D1%80%D0%BD%D0%BE_%D0%B4%D1%80%D1%83%D0%B6%D0%B5%D1%81%D1%82%D0%B2%D0%BE
