             acronym                                                                            expansion        language           type                                             doc_id
0                  m                                                                                meter              en  out_expansion                                  Conus_eugrammatus
1                 °C                                                                              Celsius              en  out_expansion                                  Conus_eugrammatus
2                КНР                                                         Китайската народна република              bg  out_expansion                                  Conus_eugrammatus
3               САЩ                                                            Съединени Американски Щати              bg  out_expansion                                  Conus_eugrammatus
4                  m                                                                                meter              en  out_expansion                                  Conus_eugrammatus
5                 °C                                                                              Celsius              en  out_expansion                                  Conus_eugrammatus
6                КНР                                                         Китайската народна република              bg  out_expansion                                  Conus_eugrammatus
7               САЩ                                                            Съединени Американски Щати              bg  out_expansion                                  Conus_eugrammatus
8                ES6                                                                         ECMAScript 6              en  out_expansion                                         JavaScript
9               HTML                                                            HyperText Markup Language              en  out_expansion                                         JavaScript
10              JSON                                                           JavaScript Object Notation              en  out_expansion                                         JavaScript
11               САЩ                                                           Съединени американски щати              bg  out_expansion                                         JavaScript
12                г.                                                                               година              bg  out_expansion                                         JavaScript
13              т.е.                                                                                тоест              bg  out_expansion                                         JavaScript
14               ES6                                                                         ECMAScript 6              en  out_expansion                                         JavaScript
15              HTML                                                            HyperText Markup Language              en  out_expansion                                         JavaScript
16              JSON                                                           JavaScript Object Notation              en  out_expansion                                         JavaScript
17          VBScript                                             Microsoft Visual Basic Scripting Edition              en  out_expansion                                         JavaScript
18                г.                                                                              Година               bg  out_expansion                                         JavaScript
19               OMG                                                              Object Management Group              en   in_expansion                                                UML
20               OMT                                                            Object Modeling Technique              en  out_expansion                                                UML
21              OOSE                                                 Object-Oriented Software Engineering              en  out_expansion                                                UML
22               UML                                                            Unified Modeling Language              en  out_expansion                                                UML
23                ИТ                                                             Информационни технологии              bg  out_expansion                                                UML
24               IBM                                          International Business Machines Corporation              en  out_expansion                                                UML
25               OMG                                                              Object Management Group              en   in_expansion                                                UML
26               OMT                                                            Object-modeling technique              en  out_expansion                                                UML
27             OOSE                                                  object-oriented software engineering              en  out_expansion                                                UML
28               UML                                                            Unified Modeling Language              en  out_expansion                                                UML
29                ИТ                                                           Информационните технологии              bg  out_expansion                                                UML
30              АПК                                                    Административнопроцесуалния кодекс              bg   in_expansion                                Административен_акт
31                ДВ                                                                     Държавен вестник              bg  out_expansion                                Административен_акт
32               ал.                                                                               алинея              bg  out_expansion                                Административен_акт
33               бр.                                                                                 брой              bg  out_expansion                                Административен_акт
34              т.е.                                                                                тоест              bg  out_expansion                                Административен_акт
35               чл.                                                                                 член              bg  out_expansion                                Административен_акт
36               АПК                                                   Административнопроцесуалния кодекс              bg   in_expansion                                Административен_акт
37                ДВ                                                                     Държавен вестник              bg  out_expansion                                Административен_акт
38               ал.                                                                               алинея              bg  out_expansion                                Административен_акт
